127.0.0.1 - - [07/Jul/2024:04:53:19 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:22 -0300] "GET /Fintech/editarcad.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:22 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:22 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:22 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:57 -0300] "GET /Fintech/editarcad.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:58 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:58 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:53:58 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:30 -0300] "GET /Fintech/index.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:31 -0300] "GET /Fintech/image/finance-app-isometric.svg HTTP/1.1" 200 14229
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:31 -0300] "GET /Fintech/css/styles.css HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:31 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:48 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:48 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:57 -0300] "GET /Fintech/ReceitaListaServlet HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:57 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:54:57 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:02 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:10 -0300] "GET /Fintech/ReceitaListaServlet HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:10 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:10 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:13 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:19 -0300] "GET /Fintech/DespesaListaServlet HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:19 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:19 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:39 -0300] "GET /Fintech/DespesaAtualizaServlet?id=10 HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:40 -0300] "GET /js/app.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:43 -0300] "GET /Fintech/DespesaListaServlet?acao=listar HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:43 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:43 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:47 -0300] "GET /Fintech/DespesaListaServlet?acao=listar HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:47 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:47 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:51 -0300] "GET /Fintech/DespesaListaServlet?acao=listar HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:52 -0300] "GET /Fintech/DespesaListaServlet?acao=listar HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:52 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:52 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:55 -0300] "GET /Fintech/DespesaListaServlet?acao=listar HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:55 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:55:55 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:56:06 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:56:08 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [07/Jul/2024:04:56:14 -0300] "GET /Fintech/ReceitaListaServlet HTTP/1.1" 200 1575
