127.0.0.1 - - [14/Oct/2024:19:47:25 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:29 -0300] "GET /Fintech/listareceita.jsp HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:29 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:29 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:30 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:36 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:36 -0300] "GET /Fintech/css/styles.css HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:44 -0300] "GET /Fintech/ReceitaServlet HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:44 -0300] "GET /js/app.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:47:47 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:04 -0300] "GET /Fintech/ReceitaListaServlet HTTP/1.1" 200 17577
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:04 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:04 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:20 -0300] "GET /Fintech/ReceitaAtualizaServlet?id=8 HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:20 -0300] "GET /js/app.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:38 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:41 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:47 -0300] "GET /Fintech/DespesaListaServlet HTTP/1.1" 200 18530
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:47 -0300] "GET /Fintech/assets/css/styles.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:47 -0300] "GET /Fintech/assets/css/bootstrap.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2024:19:48:59 -0300] "GET /Fintech/menuUsuario.jsp HTTP/1.1" 200 4865
